Year,US T. Bond
1928,0.0084
1929,0.042
1930,0.0454
1931,-0.0256
1932,0.08789999999999999
1933,0.018600000000000002
1934,0.0796
1935,0.0447
1936,0.050199999999999995
1937,0.0138
1938,0.0421
1939,0.0441
1940,0.054000000000000006
1941,-0.0202
1942,0.0229
1943,0.024900000000000002
1944,0.0258
1945,0.038
1946,0.0313
1947,0.0092
1948,0.0195
1949,0.0466
1950,0.0043
1951,-0.003
1952,0.0227
1953,0.0414
1954,0.0329
1955,-0.0134
1956,-0.0226
1957,0.068
1958,-0.021
1959,-0.0265
1960,0.1164
1961,0.0206
1962,0.056900000000000006
1963,0.0168
1964,0.0373
1965,0.0072
1966,0.0291
1967,-0.0158
1968,0.0327
1969,-0.0501
1970,0.1675
1971,0.09789999999999999
1972,0.0282
1973,0.0366
1974,0.0199
1975,0.0361
1976,0.1598
1977,0.0129
1978,-0.0078000000000000005
1979,0.0067
1980,-0.029900000000000003
1981,0.08199999999999999
1982,0.3281
1983,0.032
1984,0.1373
1985,0.2571
1986,0.24280000000000002
1987,-0.0496
1988,0.08220000000000001
1989,0.1769
1990,0.062400000000000004
1991,0.15
1992,0.09359999999999999
1993,0.1421
1994,-0.08039999999999999
1995,0.2348
1996,0.0143
1997,0.09939999999999999
1998,0.1492
1999,-0.0825
2000,0.1666
2001,0.0557
2002,0.1512
2003,0.0038
2004,0.0449
2005,0.0287
2006,0.0196
2007,0.10210000000000001
2008,0.201
2009,-0.1112
2010,0.08460000000000001
2011,0.1604
2012,0.0297
2013,-0.091
2014,0.1075
2015,0.0128
2016,0.0069
2017,0.027999999999999997
2018,-0.0002
2019,0.0964
2020,0.1133
2021,-0.044199999999999996
